药物类别,分类,化学名称,商品名称,单位,适应症,禁忌症
,,溴化钙,溴化钙,针剂：0.25g/5mL、0.5g/10mL。,失失眠。用于神经衰弱、癫痫、舞蹈病、荨麻疹及某些瘙痒性皮肤病、低血钙性抽搐。 据报道，本品用于抢救氟乙酰胺急性中毒有良效，用20～40ml加入5%葡萄糖液40ml中静注，3～6小时1次，2～4日即可恢复。,1.不宜用于浮肿和少尿及癫痫病人。 2.长期服用能蓄积中毒，早期症状为皮疹（溴痤疮、记忆减退、情绪抑郁，如出现早期症状应即中止服药，并在饮食中增加食盐量或服用双氢氯噻嗪，促进其排出。 3.不宜用于肝功能不全病人。 4.宜饭后服，不宜空腹服。
,,巴比妥,巴比特鲁；佛鲁拿；巴比通,"1.  0.3g。

2.注射液（巴比妥钠）：0.5g/5ml。
","1.睡眠障碍。

2.麻醉前给药。

3.各种原因所致的惊厥。
",肝、肺、肾功能严重损害者禁用。
,,硫酸镁,干燥硫酸镁；苦盐；硫苦；泻利盐；泻盐；药用硫酸镁,"1.注射液：1g（10ml），2.5g（10ml）；

2.结晶粉：500g；

3.溶液：3.3g（10ml）。
","1.硫酸镁注射剂常用于妊娠高血压综合征、先兆子痫和子痫。也可用于治疗早产。
2.用于低镁血症的预防和治疗，尤其是急性低镁血症伴有肌肉痉挛、手足搐搦等症状。也用于全静脉内营养时，预防镁缺乏。3.用于室性心动过速，包括尖端扭转型室性心动过速和室颤的预防，对洋地黄、奎尼丁中毒引起的室性心动过速也有效。4.也用于发作频繁而其他治疗效果不好的心绞痛患者，对伴有高血压的患者效果较好。
5.还可用于惊厥、尿毒症、破伤风、高血压脑病、急性肾性高血压危象。
6.口服用于导泻和十二指肠引流及治疗便秘、肠内异常发酵、胆绞痛、阻塞性黄疸及慢性胆囊炎。
7.外用热敷消炎去肿。
8.清除肠道内毒物以及某些驱肠虫药后的导泻，制成一二三灌肠剂或开塞露，用于各种便秘。主要用于便秘、肠内异常发酵、服用驱虫药后导泻，与药用炭合用治疗食物或药物中毒；也用于手术、放射性检查及纤维结肠镜检查前的肠道准备。
9.主要适用于洋地黄中毒引起的快速异位性心律失常，Ⅰ、Ⅲ类抗心律失常药物引起的Q-T间期延长所致的尖端扭转型心动过速，对有低镁血症者疗效更佳。
","1.心脏传导阻滞。

2.心肌损害。

3.严重肾功能不全，肌酐清除率低于每分钟20ml。

4.肠道出血患者。

5.经期妇女。

6.急腹症患者及孕妇禁用硫酸镁导泻。

7.禁用于中枢抑制药中毒时导泻，忌与神经节阻滞药合用。
"
,麻醉性镇痛药,哌替啶,度冷丁；杜冷丁；麦啶；美吡利啶；利多尔；地美露；溴苯丙啶；吡利啶；哌啶,"1.片剂：25mg，50mg；

2.注射剂：50mg（1ml），100mg（2ml）。
","1.缓解中、重度疼痛，如创伤性剧痛、手术后疼痛，晚期癌症疼痛。但对慢性钝痛不宜使用，因有成瘾性。

2.麻醉前给药及人工冬眠（常同氯丙嗪、异丙嗪合用），可消除术前紧张、恐惧情绪，减少麻醉药用量。

3.急性左心衰竭引起的肺水肿和心源性哮喘。

4.内脏绞痛（如胆绞痛、肾绞痛）。常与阿托品或亚硝酸异戊酯（如硝酸甘油）合用，以抵消其对平滑肌及括约肌的兴奋作用。

5.与氯丙嗪、异丙嗪等合用进行人工冬眠。
","1婴幼儿慎用。1岁以内小儿一般不应静脉注射哌替啶或行人工冬眠。

2不宜与异丙嗪多次合用，否则可致呼吸抑制，引起休克等不良反应。与单胺氧化化酶抑制剂（MAOI）合用可引起兴奋、高热、出汗、神志不清。
3有轻微的阿托品样作用，给药后可致心率加快，故室上性心动过速患者不宜使用。

4慎用于孕妇、哺乳期妇女和儿童。
"
,全身麻醉药,硫喷妥钠,戊硫巴比妥钠；播托散,针剂：每瓶0.5g、1g（含无水碳酸钠6%）。,临床上广泛应用硫喷妥钠进行基础麻醉、全麻诱导，也用以有效地制止各种原因所致的惊厥状态。,对呼吸障碍、哮喘、严重休克、萎缩性肌强直、支气管哮喘、血紫质症、营养不良、巴比妥类过敏、新生儿等均禁用。
,,"盐酸氯胺酮
",盐酸氯胺酮注射液,（1）2ml：0.1g  （2）10ml：0.1g  （3）20ml：0.2g,本品适用于各种表浅、短小手术麻醉、不合作小儿的诊断性检查麻醉及全身复合麻醉。,顽固、难治性高血压、严重的心血管疾病及甲抗病人禁用。
,,水合氯醛,水化氯醛；含水氯醛；水合三氯乙醛；氯氧水,"1.其中加有20%单糖浆矫味及20%淀粉（糊化成淀粉浆），以减少水合氯醛对胃肠道的刺激性；

2.水合氯醛合剂：内含5%水合氯醛、5%溴化钠。
",1．治疗失眠，适用于入睡困难的患者。作为催眠药，短期应用有效，连续服用超过两周则无效。2.麻醉前、手术前和睡眠脑电图检查前用药，可镇静和解除焦虑，使相应的处理过程比较安全和平稳。3.抗惊厥，用于癫癎持续状态的治疗，也可用于小儿高热、破伤风及子癎引起的惊厥。,肝、肾、心脏功能严重障碍者禁用。间歇性血卟啉病患者禁用。
,,麻醉乙醚,双乙基醚；二乙醚；麻醉醚,每瓶100ml；150ml；250ml。,乙醚是最早使用的全麻药之一，可用于各种手术的麻醉。但近年来有了更满意的吸入全麻药，其临床应用逐年减少，一般仅作为成人静吸复合全麻的辅助用药，也可用于臂肺循环时间测定。,极度衰竭患者禁用。急性呼吸系统感染、肝、肾功能不良、糖尿病、急、慢性肾炎、严重酸中毒、低容量休克、颅内高压患者禁用或慎用。
,直接作用于血管平滑肌,硝酸甘油,"

三硝酸甘油酯；三硝基甘油；硝化甘油；耐较咛；永保心灵；长效疗通脉；保欣宁；礼顿；疗通脉缓释胶囊；贴保咛；尼采贴；疗通脉；三硝酸甘油；耐绞宁；贴保宁
","1.片剂：0.6mg；

2.贴剂：尼采贴25～50mg，贴保宁5～10mg；

3.胶囊（长效疗脉通，疗脉通缓释胶囊）：2.5mg；

4.喷雾剂（永保心灵）：11.2g（230喷），每喷0.4mg；

5.注射剂：5mg。
",用于预防和治疗冠状粥样硬化性心脏病心绞痛、急性左心室衰竭、充血性心力衰竭、局部浅表性静脉炎。 也可用于解除胆绞痛、幽门痉挛、肾绞痛等。但作用暂短。,严重贫血、颅内压过高及对硝酸甘油过敏的患者，心肌梗死早期、休克、主动脉瓣/二尖瓣狭窄引起的心功能不全，肺泡性供氧不足时，属于禁忌。
,,硝酸异山梨酯,硝酸异山梨醇酯；二硝酸异山梨醇酯；硝异梨醇；硝异山梨醇；异山梨醇酯硝酸酯；硝酸脱水山梨醇酯；消心痛；爱倍注射剂；安基伦；安其伦；异舒定；宁托乐；异舒吉注射剂；易脉顺缓释胶囊；长效易顺脉；长效消心痛；异舒吉气雾剂,"1.片剂：（消心痛）5mg，（长效消心痛）20mg，（异舒吉缓释片）20mg；
2.胶囊：（易顺脉缓释胶囊）20mg，40mg，（安其伦缓释胶囊）20mg，40mg；
3.喷雾剂：（易顺脉口腔喷雾剂）每喷1.25mg（0.9ml），每瓶20ml；（异舒吉气雾剂）每喷1.25mg，每瓶300喷；（欣舒气雾剂）每瓶125mg；
4.注射剂：（爱倍注射剂）10mg；（异舒吉注射剂）10mg。
",用于冠状粥样硬化性心脏病心绞痛、急性心肌梗死和充血性心力衰竭的治疗、预防与急救。,"1.禁用于贫血、头部创伤、脑出血、严重低血压和血容量不足以及硝酸盐类药物敏感的患者。

2.青光眼者禁用。
"
,,5-单异山梨酯,德明；丽珠欣乐；莫诺确特；异乐定长效；异乐定；益辛保,缓释胶囊 40mg x 30粒。,冠心病的维持治疗，心绞痛的预防和治疗，肺动脉高压，与强心甙和／或利尿剂联合治疗慢性心功能不全。,休克状态、严重低血压，肥厚梗阻型心肌病，狭窄性心包炎、心包填塞，急性心肌梗塞或左心室功能不全伴有低充盈压者。
,,肼苯哒嗪,肼屈嗪；肼酞嗪；阿比西林；平压嗪；肼苯太素；肼太嗪；肼苯达嗪,"1.片剂：每片10mg，25mg，50mg，100mg；

2.复方片剂：安达血平片：每片含硫酸双肼苯哒嗪10mg，利血平0.1mg；安速降压片：每片含硫酸双肼苯哒嗪4mg，普萘洛尔10mg，呋塞米5mg，黄豆苷元25mg等。

3.注射剂：20mg（1ml）。

4.注射剂（粉）：25mg。
","1.由于长期服用可引起严重不良反应，目前临床较少用肼苯哒嗪治疗高血压，为抵消其引起的反射性心动过速和钠水潴留，可加用β受体阻滞剂和利尿剂。

2.充血性心衰：V-HeFTI试验表明，心功能Ⅱ～Ⅲ级充血性心衰患者在服用利尿剂、洋地黄基础上加用肼苯哒嗪75mg，每天4次和异山梨酯40mg，每天4次，除改善症状外，并可降低病死率（但未能达到统计学显著性）。
",患有红斑狼疮、结缔组织病、严重心绞痛患者禁用。无心力衰竭的冠状粥样硬化性心脏病、心绞痛患者、对肼苯哒嗪过敏者和主动脉夹层患者。
肾素抑制剂,,,阿利克仑,片剂：150mg。复方片剂：（1）阿利克仑150mg、缬沙坦160mg；（2）阿利克仑300mg、缬沙坦320mg。,用于高血压 ,妊娠及哺乳期妇女慎用。
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
